model,anonymized_train,anonymized_test,accuracy,precision,recall,f1_score,selected_features,feature_method,num_features
Logistic Regression,False,False,0.999380003699839,0.9993801558153551,0.999380003699839,0.99938000363039,"[3, 22, 26, 27, 28, 29, 30, 31, 75, 76, 77, 78]",chi2,12
KNN,True,True,0.977049958895821,0.9781122626818419,0.977049958895821,0.9770351181505695,"[3, 16, 18, 20, 22, 25, 26, 27, 28, 29, 30, 31, 62, 75, 76, 77, 78]",chi2,17
KNN,True,False,0.9921600010984211,0.9922973954568387,0.9921600010984211,0.9921592038775128,"[3, 16, 18, 20, 22, 25, 26, 27, 28, 29, 30, 31, 62, 75, 76, 77, 78]",chi2,17
KNN,False,True,0.9012502322779272,0.9173270644718898,0.9012502322779272,0.9002195126341704,"[3, 16, 18, 20, 22, 25, 26, 27, 28, 29, 30, 31, 62, 75, 76, 77, 78]",chi2,17
KNN,False,False,0.999610001799904,0.999610299715954,0.999610001799904,0.9996100017296073,"[3, 16, 18, 20, 22, 25, 26, 27, 28, 29, 30, 31, 62, 75, 76, 77, 78]",chi2,17
Random Forest,True,True,1.0,1.0,1.0,1.0,"[3, 16, 18, 20, 22, 25, 26, 27, 28, 29, 30, 31, 62, 75, 76, 77, 78]",chi2,17
Random Forest,True,False,0.9995600024998871,0.9995600492594114,0.9995600024998871,0.9995600024900142,"[3, 16, 18, 20, 22, 25, 26, 27, 28, 29, 30, 31, 62, 75, 76, 77, 78]",chi2,17
Random Forest,False,True,0.9698099902940592,0.9715544323937548,0.9698099902940592,0.9697810438745439,"[3, 16, 18, 20, 22, 25, 26, 27, 28, 29, 30, 31, 62, 75, 76, 77, 78]",chi2,17
Random Forest,False,False,1.0,1.0,1.0,1.0,"[3, 16, 18, 20, 22, 25, 26, 27, 28, 29, 30, 31, 62, 75, 76, 77, 78]",chi2,17
GaussianNB,True,True,0.995199996699073,0.9952201026284296,0.995199996699073,0.9951999447141238,"[3, 16, 18, 20, 22, 25, 26, 27, 28, 29, 30, 31, 62, 75, 76, 77, 78]",chi2,17
GaussianNB,True,False,0.978960011295679,0.9789995456156735,0.978960011295679,0.9789596383793119,"[3, 16, 18, 20, 22, 25, 26, 27, 28, 29, 30, 31, 62, 75, 76, 77, 78]",chi2,17
GaussianNB,False,True,0.989490039197506,0.989713581733986,0.989490039197506,0.9894886090338643,"[3, 16, 18, 20, 22, 25, 26, 27, 28, 29, 30, 31, 62, 75, 76, 77, 78]",chi2,17
GaussianNB,False,False,0.984340029696571,0.9843921805306396,0.984340029696571,0.9843395620773713,"[3, 16, 18, 20, 22, 25, 26, 27, 28, 29, 30, 31, 62, 75, 76, 77, 78]",chi2,17
Mutilayer Perceptron,True,True,0.986100013697083,0.9864088319232233,0.986100013697083,0.9860976117786325,"[3, 16, 18, 20, 22, 25, 26, 27, 28, 29, 30, 31, 62, 75, 76, 77, 78]",chi2,17
Mutilayer Perceptron,True,False,0.987890028297295,0.9879751669160166,0.987890028297295,0.987889540580928,"[3, 16, 18, 20, 22, 25, 26, 27, 28, 29, 30, 31, 62, 75, 76, 77, 78]",chi2,17
Mutilayer Perceptron,False,True,0.93816986138902,0.9430547247220374,0.93816986138902,0.9379877517664342,"[3, 16, 18, 20, 22, 25, 26, 27, 28, 29, 30, 31, 62, 75, 76, 77, 78]",chi2,17
Mutilayer Perceptron,False,False,0.999470002499869,0.9994705351989642,0.999470002499869,0.999470002327184,"[3, 16, 18, 20, 22, 25, 26, 27, 28, 29, 30, 31, 62, 75, 76, 77, 78]",chi2,17
AdaBoost,True,True,0.999890002199956,0.9998900747491705,0.999890002199956,0.9998900021879776,"[3, 16, 18, 20, 22, 25, 26, 27, 28, 29, 30, 31, 62, 75, 76, 77, 78]",chi2,17
AdaBoost,True,False,0.997029977499631,0.9970584882594591,0.997029977499631,0.9970298793141095,"[3, 16, 18, 20, 22, 25, 26, 27, 28, 29, 30, 31, 62, 75, 76, 77, 78]",chi2,17
AdaBoost,False,True,0.9662899943933141,0.9672683345604659,0.9662899943933141,0.9662713781704187,"[3, 16, 18, 20, 22, 25, 26, 27, 28, 29, 30, 31, 62, 75, 76, 77, 78]",chi2,17
AdaBoost,False,False,0.999989999899999,0.999990000499957,0.999989999899999,0.9999899998999809,"[3, 16, 18, 20, 22, 25, 26, 27, 28, 29, 30, 31, 62, 75, 76, 77, 78]",chi2,17
Logistic Regression,True,True,0.9414500231880581,0.945048754947754,0.9414500231880581,0.9413310740889123,"[3, 16, 18, 20, 22, 25, 26, 27, 28, 29, 30, 31, 62, 75, 76, 77, 78]",chi2,17
Logistic Regression,True,False,0.8491185781840418,0.8882591714690967,0.8491185781840418,0.8423833700683424,"[3, 16, 18, 20, 22, 25, 26, 27, 28, 29, 30, 31, 62, 75, 76, 77, 78]",chi2,17
Logistic Regression,False,True,0.8408801373668023,0.8497197037633208,0.8408801373668023,0.8398566908412416,"[3, 16, 18, 20, 22, 25, 26, 27, 28, 29, 30, 31, 62, 75, 76, 77, 78]",chi2,17
Logistic Regression,False,False,0.998300002799632,0.9983029893994653,0.998300002799632,0.9983000000571058,"[3, 16, 18, 20, 22, 25, 26, 27, 28, 29, 30, 31, 62, 75, 76, 77, 78]",chi2,17
